ID	RPKM
b0138	5.46
b0139	2.58
b0140	1.34
b0141	1.33
b0142	82.95
b0143	308.06
b0144	52.32
b0145	1609.47
b0146	324.3
b0147	36.47
b0148	26.56
b0149	73.89
b0150	17.35
b0151	6.52
b0152	13.03
b0153	2.62
b0154	166.48
b0155	77.96
b0156	188.51
b0157	35.34
b0158	106.97
b0159	646.63
b0160	56.84
b0161	239.34
b0162	45.22
b0163	325
b0164	39.33
b0166	674.61
b0167	34.67
b0168	337.49
b0169	5102.01
b0170	1824.06
b0171	296.44
b0172	1029.67
b0173	123.57
b0174	375.91
b0175	84.54
b0176	307.33
b0177	639.52
b0178	894.25
b0179	875.15
b0180	1270.39
b0181	521.62
b0182	225.44
b0183	115.94
b0184	170.04
b0185	235.22
b0186	17.98
b0187	19.58
b0188	37.48
b0189	92.09
b0190	102.73
b0191	121.78
b0192	158.26
b0193	13.81
b0194	437.16
b0195	75.69
b0196	202.93
b0197	265.65
b0198	57.26
b0199	45.97
b0200	63.45
b0201	33.09
b0204	91.77
b0206	83.03
b0207	10.7
b0208	43.66
b0209	168.32
b0210	71.31
b0211	648.65
b0212	158.32
b0213	63.87
b0214	135.19
b0215	132.33
b0217	12.77
b0219	81.76
b0220	108.07
b0221	1.47
b0222	185.1
b0223	235.91
b0224	386.8
b0225	1120.32
b0226	1084.29
b0227	12.05
b0228	22.95
b0231	34.84
b0232	70.47
b0233	87.72
b0234	26.65
b0237	875.55
b0238	208.47
b0239	60.54
b0240	191.51
b0241	1.34
b0242	141.24
b0243	130.81
b0244	170.35
b0245	0.41
b0246	0.83
b0247	0.13
b0248	0.15
b0249	1.74
b0250	50.89
b0251	19.01
b0252	1.31
b0253	19.89
b0254	9.79
b0256	35.62
b0260	1.53
b0261	49.56
b0262	3.5
b0264	10.79
b0267	0.55
b0268	0
b0269	18.42
b0270	1.69
b0271	4.18
b0272	20.74
b0273	0
b0274	0.53
b0277	8.36
b0278	7.45
b0279	5.48
b0280	422.42
b0281	103.94
b0283	1.8
b0284	2.39
b0285	2.83
b0286	3.08
b0287	36.74
b0288	14.84
b0289	14.17
b0290	14.67
b0291	2.3
b0292	2.33
b0293	10.16
b0294	0.66
b0295	4.54
b0296	35.56
b0301	6.13
b0303	9.93
b0304	6.28
b0305	13.73
b0306	598.14
b0307	152.81
b0308	115.07
b0310	1.62
b0311	9.8
b0312	12.7
b0313	29.7
b0314	4.01
b0315	17.55
b0316	78.21
b0317	0.53
b0318	7.32
b0319	2.34
b0320	1.46
b0321	1.16
b0323	1.23
b0324	17.8
b0325	44.88
b0326	0.53
b0327	55.98
b0328	7.8
b0329	48.81
b0330	1.36
b0331	0.28
b0333	0.57
b0334	0.89
b0335	0.59
b0336	30.78
b0337	86.15
b0338	8.66
b0339	1.33
b0340	4.56
b0341	1.91
b0342	12.46
b0343	1.97
b0344	14.85
b0345	25.55
b0346	2.96
b0347	0.21
b0348	0.21
b0349	0.91
b0350	1.23
b0351	0.97
b0352	0.7
b0353	1.77
b0354	74.73
b0355	50.16
b0356	72.49
b0357	42.63
b0358	5.35
b0361	0.41
b0363	2.83
b0364	0.66
b0365	0.15
b0366	0.24
b0367	0.32
b0368	3.31
b0369	179.89
b0372	0.21
b0375	2.96
b0376	66.36
b0377	16.11
b0378	37.52
b0379	3.61
b0380	51.47
b0381	242.51
b0382	428.3
b0383	41.65
b0384	44.98
b0385	1.51
b0386	43.2
b0387	29.5
b0388	327.53
b0389	586.31
b0390	36.37
b0391	292.46
b0393	123.2
b0394	27.32
b0396	9.28
b0397	38.91
b0398	48.67
b0399	23.91
b0400	7.95
b0401	57.34
b0402	76.33
b0403	12.59
b0404	24.15
b0405	111.61
b0406	447.86
b0407	768.86
b0408	309.3
b0409	152.98
b0410	318.6
b0411	1913.34
b0412	18.43
b0413	55.75
b0414	93.38
b0415	405.29
b0416	1037.46
b0417	97.11
b0418	158.64
b0419	148.09
b0420	136.78
b0421	334.15
b0422	924.49
b0423	124.25
b0424	65.72
b0425	62.91
b0426	607.18
b0427	18.37
b0428	53.31
b0429	25.57
b0430	71.72
b0431	44.36
b0432	174.21
b0433	97.88
b0434	573.76
b0435	275.26
b0436	1851.99
b0437	1049.68
b0438	643.6
b0439	293.59
b0440	1473.41
b0441	560.18
b0442	40.11
b0443	12.41
b0444	57.13
b0445	27.68
b0446	32.62
b0447	47.3
b0448	17.03
b0449	19.73
b0450	0
b0451	3.31
b0452	61.73
b0453	69.64
b0454	26.27
b0455	1369.47
b0456	22.68
b0457	59.03
b0458	250.46
b0459	163.34
b0460	0
b0461	0
b0462	201.99
b0463	391.06
b0464	62.39
b0465	63.84
b0466	111.81
b0467	50.4
b0468	13.23
b0469	479.9
b0470	171.48
b0471	613.88
b0472	415.95
b0473	443.46
b0474	1468.19
b0475	67.19
b0476	19.26
b0477	159.7
b0478	117.69
b0479	16.42
b0480	61.75
b0481	63.38
b0482	56.43
b0483	92.42
b0484	48.57
b0485	6.41
b0486	3.96
b0487	57.2
b0488	34.25
b0489	69.09
b0490	37.86
b0491	11.86
b0492	281.77
b0493	175.03
b0494	89.32
b0495	17.8
b0496	7.34
b0497	5.95
b0498	0
b0503	27.98
b0504	4
b0505	6.6
b0506	154.66
b0507	2.09
b0508	0.64
b0509	2
b0511	0.55
b0512	6.01
b0513	0.51
b0514	0.69
b0515	21.71
b0516	8.05
b0517	1.15
b0518	0.32
b0520	1.01
b0521	1.88
b0522	72.19
b0523	0
b0524	96.22
b0525	2436.52
b0526	216.62
b0527	13.05
b0528	321.09
b0529	255.68
b0530	0.79
b0531	0.35
b0532	2.68
b0533	0.32
b0534	0.56
b0535	2.5
b0536	80.98
b0537	99.2
b0543	42.35
b0544	1.81
b0545	9.32
b0546	24.18
b0547	1.81
b0548	0
b0549	0.21
b0550	0.2
b0551	1.57
b0554	43.28
b0555	34.88
b0556	8.16
b0557	1614.63
b0558	26.07
b0559	81.35
b0560	6.37
b0564	81.37
b0565	2469.1
b0566	4.88
b0567	14.18
b0568	20.2
b0569	9.87
b0570	27.5
b0571	13.98
b0572	0.91
b0573	3.7
b0574	2.22
b0575	1.11
b0576	17.69
b0577	87.63
b0578	162.29
b0579	38.61
b0580	2.23
b0581	24.48
b0583	5.09
b0584	6.69
b0585	0.45
b0586	8.73
b0587	1.12
b0588	0.72
b0589	0.4
b0590	3.08
b0591	0.46
b0592	3.33
b0593	1.55
b0594	2.06
b0595	3.16
b0596	3.83
b0597	5.19
b0598	20.72
b0599	19.21
b0600	8.82
b0601	14.38
b0602	1.98
b0603	6.3
b0604	95.71
b0605	11952.56
b0606	367.02
b0607	209.84
b0608	6.28
b0610	270.73
b0611	204.47
b0612	1.96
b0613	0.22
b0614	1.21
b0615	1.54
b0616	1.34
b0617	0.92
b0618	0.8
b0619	10.1
b0620	27.42
b0621	359.06
b0622	30.01
b0623	11145.9
b0624	27.54
b0627	293.23
b0628	351.79
b0629	11.05
b0630	50.97
b0631	225.25
b0632	341.48
b0633	310.95
b0634	65.72
b0635	155.9
b0636	363.17
b0637	236.03
b0638	63.22
b0639	74.1
b0640	281.27
b0641	277.56
b0642	476.88
b0643	117.28
b0644	3.16
b0645	0.3
b0646	1.14
b0647	2.79
b0648	2.29
b0649	5.15
b0650	26.06
b0651	1205.19
b0652	30.48
b0653	12.95
b0654	12.07
b0655	89.44
b0657	112.19
b0658	645
b0659	209.81
b0660	431.41
b0661	115.1
b0662	13.13
b0664	0
b0666	0
b0668	1355.8
b0670	4424.14
b0672	0
b0673	1053.42
b0674	127.43
b0675	195.74
b0676	377.48
b0677	286.25
b0678	429.63
b0679	223.22
b0680	78.33
b0681	22.14
b0682	9.28
b0683	2685.72
b0684	686.7
b0685	161.08
b0686	56.64
b0687	950
b0688	372.09
b0689	35.13
b0692	3.13
b0693	1.22
b0694	28.2
b0695	10.38
b0696	8.32
b0697	1.71
b0698	0.35
b0699	0
b0700	4.36
b0702	5.33
b0704	3.41
b0706	0.78
b0707	66.71
b0708	25.95
b0709	5.54
b0710	16.39
b0711	59.39
b0712	106.27
b0713	51.4
b0714	62.36
b0715	55.58
b0716	1.93
b0717	4.91
b0718	0.84
b0719	0.43
b0720	213.17
b0721	28.99
b0722	11.06
b0723	31.12
b0724	148.18
b0726	161.08
b0727	399.6
b0728	313.78
b0729	466.85
b0730	49.01
b0731	0.34
b0732	12.46
b0733	1724.6
b0734	1368.19
b0735	562.56
b0736	170.81
b0737	190.19
b0738	100.99
b0739	105.35
b0740	324.23
b0741	1539.55
b0742	545.09
b0743	4124.79
b0745	0
b0746	0
b0747	0
b0748	366.4
b0749	0
b0750	18.73
b0751	18.9
b0752	20.08
b0753	40.32
b0754	321.03
b0755	497.11
b0756	537.93
b0757	275.31
b0758	305.71
b0759	379.85
b0760	60.78
b0761	100.45
b0762	107.66
b0763	60.35
b0764	28.91
b0765	17.48
b0766	77.97
b0767	127.37
b0768	0.78
b0769	0.24
b0770	0.43
b0771	3.31
b0772	188.34
b0773	65.3
b0774	6.6
b0775	8.33
b0776	2.44
b0777	3.07
b0778	6.75
b0779	60.97
b0780	75.18
b0781	524.89
b0782	0
b0783	0
b0784	0
b0785	234.57
b0786	144.56
b0787	10.44
b0788	1.29
b0789	6.98
b0790	10.73
b0791	119.13
b0792	45.12
b0793	30.98
b0794	45.6
b0795	45.27
b0796	45.98
b0797	144.2
b0798	28.11
b0799	52.7
b0800	84.22
b0801	70.62
b0802	44.05
b0803	10.04
b0804	2.38
b0805	1.33
b0806	31.75
b0807	52.8
b0808	5.52
b0809	149.39
b0810	111.41
b0811	504.75
b0812	1979.41
b0813	6.93
b0814	2308.53
b0815	25.02
b0817	0
b0818	6.71
b0819	220.3
b0820	232.23
b0821	4.24
b0822	70.42
b0823	8.07
b0824	4.56
b0825	12.1
b0826	175.32
b0827	115.19
b0828	80.89
b0829	40.94
b0830	27.91
b0831	15.96
b0832	20.91
b0833	49.84
b0834	50.06
b0835	83.53
b0836	104.58
b0837	9.26
b0838	82.97
b0839	44.93
b0840	112.22
b0841	64.39
b0842	21.38
b0843	19.23
b0844	44.06
b0845	15.96
b0846	29.68
b0847	71.44
b0848	136.37
b0849	46.16
b0850	0
b0851	86.17
b0852	5.28
b0853	231.23
b0854	0
b0855	1.83
b0856	0.93
b0857	1.29
b0858	5.36
b0859	33.41
b0860	52.31
b0861	119.14
b0862	41.16
b0863	235.99
b0864	122.4
b0865	299.6
b0866	69.77
b0867	65.13
b0868	61.28
b0869	49.73
b0870	98.94
b0871	59.56
b0872	19.86
b0873	20.99
b0874	17.33
b0875	4.07
b0876	58.91
b0877	246.02
b0878	32.69
b0879	8.3
b0880	1188.38
b0881	147.89
b0882	248.4
b0883	0
b0884	4301.08
b0885	63.39
b0886	103.94
b0887	79.93
b0888	280.95
b0889	420.88
b0890	255.54
b0891	475.01
b0892	120.64
b0893	1685.44
b0894	250.83
b0895	207.42
b0896	66.53
b0897	34.34
b0898	6.78
b0899	12.57
b0900	22.41
b0901	2.84
b0902	424.29
b0903	13460.72
b0904	1066.9
b0905	107.94
b0906	32.93
b0907	220.28
b0908	195.94
b0909	11.12
b0910	914.96
b0911	3570.56
b0912	1011.49
b0913	7.02
b0914	225.87
b0915	33.88
b0916	34.94
b0917	43.75
b0918	123.8
b0919	282.13
b0920	10.43
b0921	172.86
b0922	48.46
b0923	143.47
b0924	178.24
b0925	58.99
b0926	693.72
b0927	281.16
b0928	555.06
b0929	9959.75
b0930	610.65
b0931	154.22
b0932	244.68
b0933	3.79
b0934	0.17
b0935	1.19
b0936	1.25
b0937	0.46
b0938	3.84
b0939	2.78
b0940	3.58
b0941	3.45
b0942	3.57
b0943	4.89
b0944	9.5
b0945	126.13
b0946	49.27
b0947	121.37
b0948	89.75
b0949	149.6
b0950	57.35
b0951	67.42
b0952	64.38
b0953	1185.62
b0954	905.09
b0955	184.03
b0956	33.5
b0957	14688.19
b0958	145.18
b0959	37.01
b0960	39.61
b0961	32.47
b0962	43.51
b0963	903.81
b0964	5
b0965	145.05
b0966	408
b0967	73.69
b0968	44.8
b0969	96.41
b0970	717.85
b0971	98.82
b0972	3.91
b0973	1.06
b0974	2.92
b0975	4.83
b0976	1.54
b0977	6.97
b0978	1.47
b0979	2.69
b0980	9.61
b0981	13.61
b0982	16.76
b0983	15.75
b0984	5.38
b0985	5.09
b0986	9.04
b0987	92.06
b0988	0.51
b0989	236.74
b0990	15318.71
b0991	454.2
b0992	16.93
b0993	11.03
b0994	22.11
b0995	16.86
b0996	0.74
b0997	1.73
b0998	3.46
b0999	80.89
b1000	138.35
b1001	1.44
b1002	320.99
b1003	1541.71
b1004	630.94
b1006	2.47
b1007	1.07
b1008	1.31
b1009	1.01
b1010	0.53
b1011	0
b1012	0.18
b1013	37.05
b1014	7.95
b1015	6.19
b1018	5.93
b1019	3.81
b1020	1.86
b1021	51.99
b1022	18.23
b1023	35.14
b1024	52.88
b1025	59.83
b1026	0.07
b1029	0.58
b1033	78.82
b1034	146.01
b1035	231.97
b1036	170.19
b1037	5.91
b1038	0
b1039	2.74
b1040	4.17
b1041	1.42
b1042	5.08
b1043	1.62
b1044	6.43
b1045	50
b1046	24.77
b1047	38.02
b1048	510.65
b1049	222.42
b1050	10.12
b1051	217.33
b1053	14.29
b1054	130.11
b1055	13.45
b1056	43.38
b1057	4.04
b1058	3.04
b1059	79.22
b1060	0
b1061	0
b1062	189.26
b1063	144.74
b1064	343.14
b1065	5.17
b1066	185.56
b1067	192.49
b1068	103.53
b1069	20.08
b1070	38.71
b1071	24.52
b1072	6.83
b1073	0
b1074	6.31
b1075	18.2
b1076	18.69
b1077	6.29
b1078	14.45
b1079	4.03
b1080	1.62
b1081	5.05
b1082	4.95
b1083	12.48
b1084	349.52
b1085	0.41
b1086	107.25
b1087	178.79
b1088	3387.36
b1089	17135.68
b1090	396.49
b1091	136.54
b1092	543.01
b1093	1251.35
b1094	11826.28
b1095	967.52
b1096	43.66
b1097	39.42
b1098	27.49
b1099	66.2
b1100	131.96
b1101	177.53
b1102	7.3
b1103	100.41
b1104	94.67
b1105	233.32
b1106	123.45
b1107	234.75
b1108	910.93
b1109	180.81
b1110	13.1
b1111	75.61
b1112	49.95
b1113	40.97
b1114	106.96
b1115	0.67
b1116	149.51
b1117	57.55
b1118	180.53
b1119	68.48
b1120	195.24
b1121	12.33
b1122	40.85
b1123	145.97
b1124	111.17
b1125	48.87
b1126	172.63
b1127	322.16
b1128	190.05
b1129	165.17
b1130	139.51
b1131	297.11
b1132	226.16
b1133	391.98
b1134	58.32
b1135	122.55
b1136	647.11
b1137	76.44
b1138	117.08
b1139	43.62
b1140	11
b1141	5.23
b1143	112.12
b1144	11.12
b1145	166.79
b1146	3.56
b1147	3.56
b1148	3.41
b1150	0
b1153	0.35
b1154	1.22
b1155	1.63
b1156	3.68
b1158	0.47
b1159	7.09
b1160	6.46
b1161	17.3
b1162	247.52
b1163	39.33
b1164	0
b1165	1.3
b1166	0.46
b1168	1.81
b1171	27.3
b1172	8.06
b1174	2573.14
b1175	1382.49
b1176	1160.82
b1177	103.48
b1178	73.56
b1179	0
b1180	64.67
b1181	76.68
b1182	4.33
b1183	8.9
b1184	1.74
b1185	45.86
b1186	65.33
b1187	254.86
b1188	27.14
b1189	5.42
b1190	8.64
b1191	58.05
b1192	75.38
b1193	77.62
b1194	1.68
b1195	3.37
b1196	5.38
b1197	53.83
b1198	49.22
b1199	34.69
b1200	62.61
b1201	18.34
b1202	15.46
b1203	557.51
b1204	76.44
b1205	393.89
b1206	54.58
b1207	1150.16
b1208	165.41
b1209	241.55
b1210	320.18
b1211	354.25
b1212	96.81
b1213	111.13
b1214	220.17
b1215	675.04
b1216	100.6
b1217	6.67
b1218	11.68
b1219	449.96
b1220	20.25
b1221	392.56
b1222	136.72
b1223	550.86
b1224	3370.78
b1225	2236.8
b1226	1543.41
b1227	462.06
b1229	27.72
b1232	186.97
b1233	128.14
b1234	119.06
b1235	134.16
b1236	250.47
b1237	7007.33
b1238	101.75
b1241	2426.32
b1242	45
b1243	2736.21
b1244	138.35
b1245	205.23
b1246	797.34
b1247	892.49
b1248	200.19
b1249	88.93
b1250	48.67
b1251	117.86
b1252	41.19
b1253	102.38
b1254	97
b1255	133.91
b1256	78.99
b1257	5.5
b1258	5.02
b1259	0.4
b1260	37.77
b1261	42.05
b1262	18.7
b1263	5.56
b1264	2.12
b1265	0
b1266	150.56
b1267	245.58
b1268	37.06
b1269	125.16
b1270	70.82
b1271	68.63
b1272	124.09
b1273	1047.97
b1274	313.29
b1275	334.54
b1276	41.38
b1277	274.42
b1278	73.78
b1279	0
b1280	140.11
b1281	34.32
b1282	35.55
b1283	32.64
b1284	213.41
b1285	39.5
b1286	248
b1287	28.54
b1288	849.91
b1289	11.07
b1290	123.75
b1291	166.81
b1292	36.25
b1293	41.73
b1294	89.2
b1295	104.43
b1296	0.95
b1297	3.68
b1298	12.72
b1299	0
b1300	1.05
b1301	0.89
b1302	0.74
b1303	30.09
b1304	254.16
b1305	27.92
b1306	35.95
b1307	22.84
b1308	487.63
b1309	9.29
b1310	5.99
b1311	1.19
b1312	2.42
b1313	2.63
b1314	8.68
b1315	8.88
b1316	2.45
b1317	0.56
b1319	0.53
b1320	25.91
b1321	7.75
b1322	7.17
b1323	205.43
b1324	843.15
b1325	93.38
b1326	61.24
b1327	8.09
b1328	28.39
b1329	123.45
b1330	36.37
b1332	161.16
b1333	472.98
b1334	616.65
b1335	49.67
b1336	2.46
b1337	2.98
b1338	2
b1339	29.5
b1340	17.66
b1341	47.49
b1342	45.84
b1343	25.38
b1344	115.17
b1345	17.66
b1346	1.14
b1347	2.38
b1348	0
b1349	7.71
b1350	2.96
b1351	1.41
b1352	0.32
b1353	4.21
b1355	29.75
b1356	639.11
b1357	9.98
b1358	4.35
b1359	5.32
b1360	0
b1363	35.88
b1365	14.25
b1372	1.73
b1373	0
b1374	7.4
b1375	0
b1376	90.12
b1377	1.93
b1378	102.49
b1379	29.46
b1380	22.63
b1381	48.94
b1382	44.64
b1383	181.31
b1384	7.96
b1385	4.25
b1386	2.16
b1387	0.34
b1388	0.76
b1389	1.32
b1390	1.52
b1391	2.63
b1392	2.25
b1393	0.88
b1394	1.79
b1395	1.91
b1396	4.57
b1397	3.9
b1398	5.58
b1399	27.15
b1400	25.89
b1402	0.15
b1404	0
b1406	17.8
b1407	3.8
b1408	0
b1409	0.55
b1410	3.91
b1411	4.66
b1412	39.28
b1413	86.33
b1414	58.2
b1415	87.52
b1418	123.82
b1419	234
b1420	288.91
b1421	8.29
b1422	11.17
b1423	11.79
b1424	99.84
b1426	0
b1427	105.77
b1428	13.56
b1429	16.27
b1430	107.84
b1431	142.37
b1432	59.62
b1433	7.88
b1434	32.56
b1435	51.69
b1436	5.3
b1438	77.06
b1439	22.81
b1440	26.26
b1441	6.57
b1442	3.89
b1443	5.04
b1444	20.56
b1445	38.59
b1446	276.12
b1447	37.8
b1448	58.97
b1449	8.79
b1450	15.11
b1451	6.3
b1452	87.35
b1453	9.75
b1454	3
b1455	0
b1457	3.08
b1460	1.33
b1461	0
b1462	4.35
b1463	1.67
b1464	70.93
b1465	3.31
b1466	0
b1467	0
b1468	3.42
b1469	0.62
b1473	27.73
b1474	600.64
b1475	373.02
b1476	533.68
b1477	66.18
b1478	28.26
b1479	169.75
b1480	473.08
b1481	0.28
b1482	112.27
b1483	2.55
b1484	3.03
b1485	3.82
b1486	1.2
b1487	1.6
b1488	1.12
b1489	3
b1490	0.8
b1491	23.24
b1492	4.97
b1493	0.79
b1494	14.07
b1495	6.95
b1496	1.07
b1497	14.41
b1498	426.68
b1499	1.66
b1501	2.89
b1502	2.17
b1503	1.59
b1504	3.91
b1507	20.26
b1508	35.94
b1511	7.47
b1512	10.75
b1513	4.19
b1514	1.55
b1515	0.69
b1516	11.27
b1517	6.93
b1518	31.95
b1519	32.4
b1520	11.66
b1521	66.39
b1522	17.42
b1523	21.19
b1524	22.33
b1525	31.91
b1526	19.04
b1527	0.96
b1528	10.33
b1529	58.8
b1530	93.81
b1531	230.36
b1532	59.7
b1533	13.38
b1534	12.1
b1535	30.3
b1536	4.23
b1537	3.09
b1538	65.28
b1539	242.26
b1540	326.66
b1541	243.52
b1542	3.12
b1545	8.5
b1546	0
b1547	1.87
b1549	17.98
b1550	1125.25
b1551	30.77
b1552	0
b1553	2.34
b1554	1.82
b1555	4.03
b1556	1.65
b1557	1614.37
b1558	490.19
b1559	3.18
b1560	1.73
b1561	7.58
b1563	81.43
b1564	75.44
b1565	2.04
b1566	11.79
b1569	0.27
b1570	674.32
b1571	19.41
b1572	37.84
b1573	16.11
b1574	0
b1575	4.56
b1576	2.56
b1580	1.85
b1581	2.41
b1582	14.16
b1583	363.83
b1584	185.25
b1585	70.47
b1586	189.7
b1587	22.53
b1588	72.53
b1589	37.6
b1590	103.7
b1591	108.95
b1592	6.86
b1593	798.58
b1594	38.69
b1595	7.1
b1596	32.73
b1597	19.68
b1598	59.77
b1599	18.03
b1600	73.05
b1601	8.48
b1602	64.06
b1603	232.39
b1604	123.59
b1605	3.62
b1606	29.25
b1607	10
b1608	186.73
b1609	72.27
b1610	31.79
b1611	16.02
b1612	47.78
b1613	130.91
b1614	598.4
b1615	1.43
b1616	4.78
b1617	18.23
b1618	188.32
b1619	132.99
b1620	26.71
b1621	15.18
b1622	51.55
b1623	210.34
b1624	74.04
b1625	773.72
b1626	340.06
b1627	0
b1628	37.55
b1629	59.29
b1630	54.52
b1631	99.75
b1632	65.66
b1633	90.83
b1634	288.16
b1635	37.66
b1636	132.42
b1637	641.27
b1638	110.29
b1639	8.86
b1640	14.74
b1641	1025.88
b1642	291.74
b1643	17.64
b1644	42.29
b1645	21.15
b1646	147.83
b1647	229.17
b1648	15.39
b1649	18.82
b1650	53.64
b1651	0
b1652	76.67
b1653	20.62
b1654	365.31
b1655	107.54
b1656	2015.99
b1657	17.61
b1658	175
b1659	10.07
b1660	8.19
b1661	156.41
b1662	286.55
b1663	21.25
b1664	45.84
b1665	0
b1666	0
b1667	798.69
b1668	16.58
b1669	22.79
b1670	15.02
b1671	13
b1672	17.61
b1673	17.66
b1674	21.83
b1675	0
b1676	1919.51
b1677	16064.9
b1678	32.78
b1679	51.84
b1680	48.41
b1681	35.33
b1682	25.13
b1683	19.59
b1684	21.35
b1685	174.34
b1686	120.58
b1687	66.73
b1688	26.73
b1689	4.32
b1690	1.71
b1691	0.59
b1692	3.87
b1693	19.23
b1694	1.48
b1695	2.32
b1696	6.75
b1697	3.18
b1698	4.34
b1699	2.33
b1700	2.05
b1701	1.31
b1702	83.98
b1703	49.85
b1704	53.41
b1705	6.82
b1706	43.33
b1707	224.68
b1708	111.56
b1709	42.01
b1710	83.23
b1711	27.03
b1712	0
b1713	487.76
b1714	724.45
b1715	0
b1716	3605.85
b1717	20909.05
b1718	5238.73
b1719	2297.25
b1722	23.57
b1723	98.71
b1724	128.15
b1725	165.07
b1726	92.06
b1727	209.21
b1728	20.98
b1729	11.59
b1730	0.57
b1731	20.79
b1732	35.43
b1733	17.56
b1734	5.14
b1735	0
b1736	20.88
b1737	10.07
b1738	34.53
b1739	641.86
b1740	369.19
b1741	44.14
b1742	0.89
b1743	82.09
b1744	0.29
b1745	2.43
b1746	0.84
b1747	0.66
b1748	0.76
b1749	91.42
b1750	137.45
b1751	266.4
b1752	19.4
b1753	31.23
b1754	68.46
b1755	14.2
b1756	33.34
b1757	153.75
b1758	12.94
b1759	18.19
b1760	11.44
b1761	63.3
b1762	11.68
b1763	126.74
b1764	132.56
b1765	18.09
b1766	111.98
b1767	159.16
b1768	141.36
b1769	4.3
b1770	19.64
b1771	3.17
b1772	2.03
b1773	5.62
b1774	2.12
b1775	2.37
b1776	5.88
b1777	138.29
b1778	159.94
b1779	15897.83
b1780	434.74
b1781	39.36
b1782	132.87
b1783	64.72
b1784	18.17
b1785	24.82
b1786	30.06
b1787	152.44
b1788	1.36
b1789	20.91
b1790	27.36
b1791	16.32
b1792	124.69
b1793	84
b1794	235.25
b1795	92.66
b1796	43.47
b1797	50.21
b1798	82.66
b1799	104.61
b1800	9.85
b1801	2.75
b1802	3.44
b1803	3.59
b1804	63.72
b1805	31.75
b1806	96.61
b1807	99.16
b1808	49.84
b1809	448.69
b1810	72.13
b1811	105.18
b1812	23.21
b1813	68.3
b1814	294.26
b1815	3.06
b1816	156.76
b1817	2079.16
b1818	1677.38
b1819	1829.84
b1820	97.12
b1821	78.59
b1822	150.75
b1823	3596.95
b1824	5867.44
b1825	196.09
b1826	125.97
b1827	152.92
b1828	5.95
b1829	246.94
b1830	409.28
b1831	1145.7
b1832	326.24
b1833	34.54
b1834	57.61
b1835	51.61
b1836	96.45
b1837	73.55
b1838	15.22
b1839	266.56
b1840	133.34
b1841	298.88
b1842	251.06
b1843	73.48
b1844	75.23
b1845	32.64
b1846	51.85
b1847	104.97
b1848	588.21
b1849	13.6
b1850	61.06
b1851	63.89
b1852	147.36
b1853	190.38
b1854	1068.23
b1855	164.59
b1856	297.58
b1857	265.58
b1858	70.47
b1859	23.75
b1860	34.57
b1861	31.21
b1862	3.74
b1863	268.19
b1864	603.13
b1865	144.53
b1866	335.97
b1867	69.3
b1868	49.07
b1869	91.47
b1870	113.78
b1871	52.36
b1872	3.83
b1873	2.88
b1874	113.28
b1875	63.94
b1876	221.94
b1877	18.19
b1878	3.3
b1879	3.92
b1880	1.26
b1881	2.1
b1882	0
b1883	1.19
b1884	1.5
b1885	1.43
b1886	1.29
b1887	1.42
b1888	1.39
b1889	2.3
b1890	1.64
b1891	62.75
b1892	48.16
b1895	86.13
b1896	60.5
b1897	53.67
b1900	7.35
b1901	13.3
b1902	172.06
b1904	0.88
b1905	2680.32
b1906	102.75
b1907	9.02
