Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression 1	Expression 2	Expression 3	Expression 4	Expression 5	Expression 6	Expression 7	Expression 8	Expression 9	Expression 10	Expression 11	Expression 12	Expression 13	Expression 14	Expression 15	Expression 16
42391	42403	43173	43173	+	fixA	b0041	"predicted electron transfer flavoprotein subunit, required for anaerobic carnitine reduction"	1	2	1	1	1	0	1	0	0	1	33	6	33	17	87	88
43188	43188	44129	44179	+	fixB	b0042	"predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein"	0	0	1	0	1	0	0	0	0	1	30	3	23	13	39	42
44180	44180	45466		+	fixC	b0043	predicted oxidoreductase with FAD/NAD(P)-binding domain	0	0	0	0	0	0	0	0	0	1	15	3	15	7	24	29
	45463	45750	45783	+	fixX	b0044	predicted 4Fe-4S ferredoxin-type protein	0	1	1	0	0	0	0	0	2	0	21	5	21	9	42	49
45807	45807	47138	47138	+	yaaU	b0045	predicted transporter	0	0	0	0	0	0	1	0	1	0	38	6	55	25	81	87
47242	47246	47776		+	kefF	b0046	"potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent"	10	11	13	11	11	21	12	13	10	12	38	33	41	38	61	51
	47769	49631	49654	+	kefC	b0047	potassium:proton antiporter	13	14	13	15	18	27	13	17	22	14	46	39	46	41	68	67
49821	49823	50302	50302	+	folA	b0048	dihydrofolate reductase	336	323	410	351	367	285	333	436	336	398	124	76	93	109	83	105
51228	51222	50380	50380	-	apaH	b0049	diadenosine tetraphosphatase	40	38	43	58	61	88	27	60	68	34	47	50	47	55	83	57
51608	51606	51229	51229	-	apaG	b0050	protein associated with Co2+ and Mg2+ efflux	96	97	111	132	137	152	83	144	114	80	111	187	91	250	223	94
	52430	51609	51609	-	rsmA	b0051	"16S rRNA dimethyladenosine transferase, SAM-dependent"	168	161	168	173	178	162	124	184	129	126	78	121	76	156	125	71
	53416	52427		-	pdxA	b0052	"4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent"	109	104	104	119	103	115	77	101	104	77	31	32	36	31	35	33
54709	54702	53416		-	surA	b0053	peptidyl-prolyl cis-trans isomerase (PPIase)	394	382	363	336	379	350	396	347	337	390	200	286	194	301	205	150
57225	57109	54755	54710	-	lptD	b0054	"LPS assembly OM complex LptDE, beta-barrel component"	361	347	373	323	382	337	311	346	289	313	233	331	229	323	256	182
57354	57364	58179	58255	+	djlA	b0055	"DnaJ-like protein, membrane anchored"	77	75	62	61	65	54	70	64	53	64	49	30	43	41	57	59
60346	60346	59687	59687	-	rluA	b0058	pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)	293	253	247	119	82	33	225	99	46	215	57	62	44	55	80	66
63265	63264	60358	60347	-	rapA	b0059	RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)	332	299	290	154	94	34	249	116	45	240	66	67	56	83	111	82
65780	65780	63429	63429	-	polB	b0060	DNA polymerase II	11	10	11	9	8	8	6	6	7	8	27	15	27	19	41	39
	66550	65855	65855	-	araD	b0061	L-ribulose-5-phosphate 4-epimerase	0	0	1	0	0	0	0	1	1	0	16	2	16	6	15	20
68337	68337	66835	66835	-	araA	b0062	L-arabinose isomerase	0	1	0	1	1	1	2	1	1	0	26	4	23	10	31	38
70146	70048	68348	68338	-	araB	b0063	L-ribulokinase	0	0	0	0	0	0	1	1	0	0	24	4	23	11	32	45
70131	70387	71265	71265	+	araC	b0064	DNA-binding transcriptional dual regulator	20	22	27	20	20	17	30	27	30	34	97	28	87	34	56	98
71340	71351	72115	72199	+	yabI	b0065	"inner membrane protein, SNARE_assoc family"	43	39	52	49	35	26	53	40	34	65	53	39	65	34	57	64
	72927	72229		-	thiQ	b0066	thiamin transporter subunit	15	13	29	22	48	12	9	21	9	8	30	17	25	15	29	34
	74521	72911		-	thiP	b0067	fused thiamin transporter subunits of ABC superfamily: membrane components	10	9	18	13	24	4	4	13	5	5	29	15	31	21	41	46
75516	75480	74497		-	thiB	b0068	thiamin transporter subunit	47	49	85	75	172	18	25	63	18	28	118	123	110	104	79	99
77307	77299	75644	75644	-	sgrR	b0069	transcriptional DNA-binding transcriptional activator of sgrS sRNA	24	24	24	16	8	11	15	10	9	17	30	20	27	17	38	40
77367			77593	+	sgrS	b4577	-	12	2273	32	2900	15	8	9	3356	2093	16	24	22	37	6306	1827	49
	77388	77519		+	sgrT	b4662	Inhibitor of glucose uptake	15	3215	41	3861	19	2	9	4422	3035	22	30	14	34	9560	2721	35
77520			77598	+	-	predicted RNA	-	10	893	17	1553	7	22	10	1826	639	7	11	45	47	999	367	78
77542			77443	-	-	predicted RNA	antisense: sgrS sgrT	1	223	4	290	1	0	0	288	215	1	6	2	12	2319	739	13
77599	77621	78799	78960	+	setA	b0070	broad specificity sugar efflux system	34	32	42	917	30	102	31	898	287	29	74	147	73	208	156	135
79453	79453	78848	78827	-	leuD	b0071	3-isopropylmalate dehydratase small subunit	27	30	7	23	3	11	25	14	10	32	416	543	431	467	331	313
80864	80864	79464	79454	-	leuC	b0072	3-isopropylmalate dehydratase large subunit	37	43	9	5	5	13	35	4	10	38	417	601	591	504	319	288
	81958	80867	80865	-	leuB	b0073	"3-isopropylmalate dehydrogenase, NAD(+)-dependent"	30	33	7	3	4	10	35	4	10	31	483	828	528	604	341	385
83529	83529	81958		-	leuA	b0074	2-isopropylmalate synthase	34	36	8	2	6	11	37	3	11	38	474	687	626	496	377	349
83740	83708	83622	83530	-	leuL	b0075	leu operon leader peptide	21	22	6	1	0	4	10	1	10	16	249	239	216	125	131	142
84321	84368	85312	85354	+	leuO	b0076	DNA-binding transcriptional activator	3	3	5	6	5	6	7	7	5	5	36	35	27	37	57	57
85625	85630	87354	87356	+	ilvI	b0077	"acetolactate synthase III, large subunit"	17	18	6	6	4	28	18	3	19	15	97	105	171	67	101	100
87357	87357	87848	87878	+	ilvH	b0078	"acetolactate synthase III, thiamin-dependent, small subunit"	18	18	7	7	4	23	12	4	21	12	42	63	120	35	54	62
88012	88028	89032	89032	+	cra	b0080	DNA-binding transcriptional repressor-activator for carbon metabolism	145	137	123	104	143	122	118	130	121	131	104	82	127	69	87	108
89631	89634	90092	90092	+	mraZ	b0081	RsmH methytransferase inhibitor	582	556	680	438	545	277	371	458	253	396	299	318	306	401	291	232
90093	90094	91035		+	rsmH	b0082	"16S rRNA m(4)C1402 methyltranserfase, SAM-dependent"	294	290	323	248	277	259	240	251	207	251	163	181	156	177	181	151
	91032	91397	91411	+	ftsL	b0083	membrane bound cell division protein at septum containing leucine zipper motif	239	242	205	170	172	174	207	171	142	194	117	166	127	153	116	99
91413	91413	93179		+	ftsI	b0084	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)	121	108	117	92	91	96	100	91	102	100	84	86	72	99	100	87
	93166	94653		+	murE	b0085	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase	147	135	143	133	102	189	160	98	157	143	79	90	79	80	73	70
	94650	96008		+	murF	b0086	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase	113	108	111	93	82	131	99	72	99	92	37	48	46	45	38	37
	96002	97084	97086	+	mraY	b0087	phospho-N-acetylmuramoyl-pentapeptide transferase	102	96	94	82	49	105	105	46	82	87	41	39	52	27	54	60
97087	97087	98403		+	murD	b0088	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	98	93	73	78	41	111	89	35	89	73	27	38	42	26	31	32
	98403	99647		+	ftsW	b0089	Lipid II flippase; integral membrane protein involved in stabilizing FstZ ring during cell division	122	114	137	113	108	130	114	111	103	113	61	77	74	73	99	105
	99644	100711	100764	+	murG	b0090	N-acetylglucosaminyl transferase	125	115	118	98	96	94	92	96	95	91	48	53	64	48	71	69
100765	100765	102240		+	murC	b0091	UDP-N-acetylmuramate:L-alanine ligase	143	142	144	116	85	121	104	84	103	108	41	45	62	42	47	42
	102233	103153	103154	+	ddlB	b0092	D-alanine:D-alanine ligase	298	281	255	234	268	276	245	259	248	231	186	214	186	247	225	178
103155	103155	103985		+	ftsQ	b0093	"Divisome assembly protein, membrane anchored protein involved in growth of wall at septum"	340	329	283	229	271	212	205	255	210	222	154	172	181	211	207	165
	103982	105244	105286	+	ftsA	b0094	ATP-binding cell division protein involved in recruitment of FtsK to Z ring	402	384	300	273	228	378	287	185	386	299	126	178	239	135	110	94
105305	105305	106456	106460	+	ftsZ	b0095	GTP-binding tubulin-like cell division protein	544	512	447	524	448	830	551	372	720	503	299	656	453	547	235	199
106516	106557	107474	107626	+	lpxC	b0096	UDP-3-O-acyl N-acetylglucosamine deacetylase	391	384	450	428	378	334	387	467	300	379	358	456	254	421	243	221
107703	107705	108217	108270	+	secM	b0097	regulator of secA translation	318	313	448	359	454	194	241	471	218	268	169	153	149	195	155	142
108279	108279	110984	110984	+	secA	b0098	"preprotein translocase subunit, ATPase"	325	325	276	251	292	159	252	277	169	263	96	104	96	108	97	100
110985	111044	111433	111459	+	mutT	b0099	"nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP"	59	53	39	23	34	24	29	37	20	27	28	15	37	19	60	59
111855	111846	111649	111606	-	yacG	b0101	DNA gyrase inhibitor	266	253	200	247	255	249	239	230	220	234	143	167	90	127	128	95
	112599	111856	111856	-	yacF	b0102	conserved protein	126	122	140	141	139	103	108	151	89	108	66	70	58	80	62	58
113234	113219	112599		-	coaE	b0103	dephospho-CoA kinase	169	165	162	147	178	124	122	183	122	140	172	221	118	215	180	147
113426	113444	114487	114488	+	guaC	b0104	GMP reductase	173	177	182	207	160	933	269	154	790	266	125	179	255	65	67	76
	115724	114522	114516	-	hofC	b0106	"assembly protein in type IV pilin biogenesis, transmembrane protein"	7	6	6	6	8	6	5	8	7	4	30	13	25	20	49	57
117099	117099	115714		-	hofB	b0107	conserved protein with nucleoside triphosphate hydrolase domain	4	5	4	6	7	11	5	7	6	4	26	9	27	22	40	42
117549	117549	117109	117100	-	ppdD	b0108	predicted major pilin subunit	1	0	1	1	0	2	2	1	0	0	21	9	18	10	44	51
118646	118645	117752	117752	-	nadC	b0109	quinolinate phosphoribosyltransferase	70	74	75	75	81	85	55	83	72	56	69	61	59	61	60	66
118731	118733	119284		+	ampD	b0110	"1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase"	94	97	89	96	150	267	71	123	209	78	103	87	109	79	117	126
	119281	120135	120385	+	ampE	b0111	predicted inner membrane protein	23	22	27	24	34	79	29	34	59	31	51	33	39	29	58	66
121554	121551	120178	120073	-	aroP	b0112	aromatic amino acid transporter	66	61	26	12	12	30	60	14	28	66	168	254	201	196	167	153
122087	122092	122856	122863	+	pdhR	b0113	DNA-binding transcriptional dual regulator	1098	1167	1457	655	717	723	1009	815	697	1034	126	78	111	106	100	129
122975	123017	125680	125686	+	aceE	b0114	"pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding"	4490	4671	3420	1740	1496	3805	4760	1176	3037	3938	273	385	446	253	115	141
125687	125695	127587	127588	+	aceF	b0115	"pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2"	2445	2572	1847	943	610	2251	3083	476	1717	2359	104	174	268	86	47	58
127606			127722	+	-	predicted RNA	-	1933	2069	1903	1105	839	2026	2007	615	1588	1590	158	232	259	155	73	80
123500			123401	-	-	predicted RNA	antisense: aceE	289	327	579	305	134	434	943	127	298	421	140	136	118	84	90	97
123836			123622	-	-	predicted RNA	antisense: aceE	493	481	1110	603	353	919	1611	251	658	1071	203	242	261	205	114	119
124082			124041	-	-	predicted RNA	antisense: aceE	238	242	1253	546	255	753	1272	211	490	898	165	174	292	104	108	103
124347			124249	-	-	predicted RNA	antisense: aceE	251	257	1199	490	208	670	1254	146	372	785	183	167	268	87	102	120
124469			124408	-	-	predicted RNA	antisense: aceE	289	284	767	418	151	591	1339	103	417	709	121	185	242	113	97	81
124706			124562	-	-	predicted RNA	antisense: aceE	679	680	1015	516	162	845	1570	144	542	980	199	257	377	95	81	85
125099			125033	-	-	predicted RNA	antisense: aceE	470	478	758	378	113	566	1064	116	428	598	134	184	230	131	98	123
125600			125553	-	-	predicted RNA	antisense: aceE	374	380	690	381	138	407	862	75	349	536	122	108	182	67	87	110
126341			126272	-	-	predicted RNA	antisense: aceF	229	239	1030	505	110	537	1241	103	419	731	73	134	170	40	35	50
127723	127912	129336	129336	+	lpd	b0116	"lipoamide dehydrogenase, E3 component is part of three enzyme complexes"	2429	2480	1669	1440	1411	2024	2530	1165	1700	2078	444	562	579	464	240	273
131260	131260	129407	129390	-	yacH	b0117	predicted protein	0	0	0	0	0	1	0	1	1	0	40	8	33	18	43	45
131556	131615	134212	134215	+	acnB	b0118	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	307	316	162	350	253	194	389	171	212	333	289	312	479	272	179	175
134380	134388	134750	134750	+	yacL	b0119	conserved protein	103	103	63	78	60	57	46	60	38	45	63	23	75	18	68	74
135597	135582	134788	134788	-	speD	b0120	S-adenosylmethionine decarboxylase	791	822	698	369	255	137	557	315	188	578	187	205	216	219	102	164
136467	136464	135598	135598	-	speE	b0121	spermidine synthase (putrescine aminopropyltransferase)	595	628	754	394	217	113	571	312	157	558	147	202	218	148	84	104
136934	136917	136570	136570	-	yacC	b0122	"conserved protein, PulS_OutS family"	110	110	128	115	169	94	99	164	97	113	138	235	134	282	206	180
137077	137083	138633	138633	+	cueO	b0123	multicopper oxidase (laccase)	33	28	22	29	18	51	25	15	44	28	44	51	74	28	47	56
141229	141225	138835	138821	-	gcd	b0124	glucose dehydrogenase	63	57	57	93	66	40	21	37	27	19	38	105	46	73	74	54
141378	141431	141967	142472	+	hpt	b0125	hypoxanthine phosphoribosyltransferase	1322	1280	1213	1111	1287	1130	1084	1337	1232	1308	274	328	247	303	291	245
142672	142670	142008	141981	-	can	b0126	carbonic anhydrase	455	454	566	936	1365	1142	616	1287	931	649	795	1137	487	1216	705	518
142573	142779	143705		+	yadG	b0127	predicted transporter subunit: ATP-binding component of ABC superfamily	177	168	190	146	148	130	142	111	113	143	100	78	128	67	121	114
	143702	144472	144551	+	yadH	b0128	predicted transporter subunit: membrane component of ABC superfamily	67	62	86	63	44	52	54	48	53	58	60	33	60	27	87	108
144577	144577	145017	145017	+	yadI	b0129	predicted PTS Enzyme IIA	10	10	11	4	6	7	8	5	6	9	30	8	29	7	34	50
145081	145081	146310	146310	+	yadE	b0130	predicted polysaccharide deacetylase lipoprotein	26	25	33	19	28	15	20	28	14	20	48	26	37	29	68	75
146720	146694	146314	146298	-	panD	b0131	aspartate 1-decarboxylase	1360	1282	880	756	1604	1446	918	1302	1426	1005	527	577	485	725	466	545
146710	146968	147870	147870	+	yadD	b0132	predicted transposase	5	5	7	3	3	1	3	4	3	2	46	16	40	25	76	89
148806	148795	147944	147944	-	panC	b0133	pantothenate synthetase	276	282	176	187	220	444	250	203	363	270	202	215	170	189	143	140
149614	149601	148807	148807	-	panB	b0134	3-methyl-2-oxobutanoate hydroxymethyltransferase	251	252	199	181	175	291	204	195	227	236	184	173	170	209	129	141
150953	150953	149715	149715	-	yadC	b0135	predicted fimbrial-like adhesin protein	3	4	6	2	4	1	1	3	2	1	47	11	27	27	66	90
151599	151599	151003	151003	-	yadK	b0136	predicted fimbrial-like adhesin protein	3	2	4	3	3	2	4	3	2	2	50	19	23	34	55	71
152231	152231	151626	151611	-	yadL	b0137	predicted fimbrial-like adhesin protein	3	3	4	4	4	2	2	3	1	2	61	22	45	30	63	79
152826	152812	152243	152243	-	yadM	b0138	predicted fimbrial-like adhesin protein	2	2	3	2	5	2	2	3	2	4	50	25	34	34	60	68
155436	155426	152829	152829	-	htrE	b0139	predicted outer membrane usher protein	0	1	2	0	1	0	1	0	0	1	25	10	17	17	37	45
156201	156201	155461	155461	-	ecpD	b0140	predicted periplasmic pilin chaperone	0	0	1	0	0	0	0	1	0	0	20	3	16	10	28	40
	156883	156299		-	yadN	b0141	predicted fimbrial-like adhesin protein	1	1	1	1	1	0	2	0	0	1	19	5	16	7	29	33
	157732	157253	157253	-	folK	b0142	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase	93	91	118	127	106	56	80	134	96	88	108	78	123	86	104	116
159139	159126	157729		-	pcnB	b0143	poly(A) polymerase I	249	237	282	255	224	108	194	278	138	200	106	113	90	126	77	95
160146	160112	159186	159186	-	gluQ	b0144	glutamyl-Q tRNA(Asp) synthetase	39	38	60	49	35	12	37	50	18	39	42	31	38	47	55	51
160620	160604	160149	160149	-	dksA	b0145	"DNA-binding transcriptional regulator of rRNA transcription, DnaK suppressor protein"	2693	2720	4102	2843	2942	1549	2521	3473	1780	2765	1105	1646	1214	2151	1260	1038
160642			160621	-	-	predicted RNA	-	1647	1779	3155	1730	1378	873	988	2259	852	1041	488	708	745	1094	724	526
160316			160383	+	-	predicted RNA	antisense: dksA	187	202	1306	727	293	346	755	332	256	594	652	839	917	792	933	599
161486	161486	160782	160643	-	sfsA	b0146	predicted DNA-binding transcriptional regulator	84	83	62	62	49	107	39	41	77	46	82	85	86	62	67	71
	162031	161501		-	ligT	b0147	2'-5' RNA ligase	20	20	24	20	30	28	14	27	22	14	20	10	21	18	25	29
162105	162105	164534		+	hrpB	b0148	predicted ATP-dependent helicase	40	39	33	35	26	41	39	27	34	33	19	18	24	17	29	30
164707	164730	167264	167267	+	mrcB	b0149	fused glycosyl transferase and transpeptidase	84	80	70	65	56	85	84	54	67	81	45	42	47	37	46	46
167478	167484	169727	169727	+	fhuA	b0150	ferrichrome outer membrane transporter	124	116	452	376	388	246	655	441	372	654	168	185	177	173	105	168
169728	169778	170575		+	fhuC	b0151	iron-hydroxamate transporter subunit	21	19	69	70	68	40	88	81	54	79	35	25	40	27	48	60
	170575	171465		+	fhuD	b0152	iron-hydroxamate transporter subunit	16	14	44	49	45	29	49	47	35	52	34	13	28	19	28	35
	171462	173444	173471	+	fhuB	b0153	fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components	13	9	31	38	16	27	56	17	37	53	27	8	32	16	62	66
174968	174882	173602	173516	-	hemL	b0154	glutamate-1-semialdehyde aminotransferase (aminomutase)	168	168	200	203	176	236	149	210	178	151	126	168	107	193	155	116
174964	175107	176528	176535	+	clcA	b0155	"chloride channel, voltage-gated"	35	34	34	35	38	27	27	35	24	26	30	25	37	30	46	44
176587	176610	176954	177003	+	erpA	b0156	iron-sulfur cluster insertion protein	450	507	290	298	228	356	303	289	338	316	112	129	148	77	93	92
177644	177624	177001	176994	-	yadS	b0157	"inner membrane protein, UPF0126 family"	53	51	60	45	42	55	48	52	55	60	43	25	44	36	49	65
	178462	177662	177662	-	btuF	b0158	vitamin B12 transporter subunit: periplasmic-binding component of ABC superfamily	43	42	46	41	44	56	34	50	42	35	36	22	37	30	50	62
179168	179153	178455		-	mtn	b0159	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	331	314	327	323	330	405	258	400	332	267	332	367	187	434	282	209
179007	179237	180754	180834	+	dgt	b0160	deoxyguanosine triphosphate triphosphohydrolase	32	32	31	40	61	56	22	44	42	25	72	69	60	68	91	85
180875	180884	182308	182391	+	degP	b0161	"serine endoprotease (protease Do), membrane-associated"	130	124	159	264	383	196	78	320	155	76	88	128	129	102	110	95
182463	182463	183620	184038	+	cdaR	b0162	DNA-binding transcriptional regulator for gar and gud operons; carbohydrate diacid regulator	3	4	2	2	2	4	7	3	4	4	27	6	19	12	48	56
184101	184095	183709	183434	-	yaeH	b0163	"conserved protein, UPF0325 family"	89	92	62	80	145	328	87	128	245	86	278	453	302	323	406	214
185085	185069	184257	184257	-	yaeI	b0164	phosphodiesterase with model substrate bis-pNPP	9	9	9	12	19	22	6	15	18	8	54	20	48	43	71	79
185948	185947	185123	185123	-	dapD	b0166	"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase"	416	406	485	527	545	697	396	652	618	443	455	470	327	372	230	288
188651	188650	185978	185978	-	glnD	b0167	uridylyltransferase	49	45	40	40	52	74	48	41	51	48	63	56	62	58	65	62
189613	189506	188712	188709	-	map	b0168	methionine aminopeptidase	528	511	585	638	740	533	609	737	532	690	336	414	231	382	206	201
189712			189847	+	tff	b4414	-	9741	9405	6759	6328	4489	1560	5015	4814	3271	5687	1696	1719	1629	2359	949	1299
189848	189874	190599	190600	+	rpsB	b0169	30S ribosomal subunit protein S2	15017	14484	14352	11141	10468	4524	14313	10907	6111	15967	2856	3383	2806	3623	1672	2491
190601			190627	+	-	predicted RNA	-	11975	10170	9050	7938	7077	2891	10262	7602	4562	11073	1712	2007	1597	2159	881	1303
190628	190857	191708	191734	+	tsf	b0170	protein chain elongation factor EF-Ts	7138	7104	7119	5120	4747	2064	6764	4930	2980	7119	742	922	1026	781	496	563
191843	191855	192580	192618	+	pyrH	b0171	uridylate kinase	750	801	675	567	480	629	526	409	592	547	126	156	207	93	62	66
192621			192631	+	-	predicted RNA	-	1127	970	1234	1187	1029	1043	866	1108	1030	911	468	405	389	354	189	244
192687			192729	+	-	predicted RNA	-	1170	1081	1262	1469	1432	1282	1176	1460	1302	1216	729	763	493	683	341	372
189883			189750	-	-	predicted RNA	antisense: rpsB tff	5705	5017	4102	3538	1947	1112	4093	1914	1614	3864	1240	1145	1026	1611	899	1145
