Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression CV104_pHDB3_5	Expression CV104_pHDB3_10	Expression CV104_pHDB3_20	Expression CV104_pLCV1_5	Expression CV104_pLCV1_10	Expression CV104_pLCV1_20
	30817	34038		+	carB	b0033	carbamoyl-phosphate synthase large subunit	53	60	117	54	48	97
	34300	34695		+	caiF	b0034	DNA-binding transcriptional activator	14	11	11	18	10	8
	35371	34781		-	caiE	b0035	stimulator of CaiD and CaiB enzyme activities	2	3	3	5	3	2
	36162	35377		-	caiD	b0036	carnitinyl-CoA dehydratase	2	3	2	5	2	1
	37824	36271		-	caiC	b0037	probable crotonobetaine/carnitine-CoA ligase	7	7	7	10	6	7
	39115	37898		-	caiB	b0038	crotonobetainyl CoA:carnitine CoA transferase	7	6	8	10	7	10
	40386	39244		-	caiA	b0039	"crotonobetaine reductase subunit II, FAD-binding"	10	11	13	11	8	9
	41931	40417		-	caiT	b0040	predicted transporter	1	2	1	6	1	2
	42403	43173		+	fixA	b0041	"predicted electron transfer flavoprotein subunit, required for anaerobic carnitine reduction"	2	4	3	8	2	3
	43188	44129		+	fixB	b0042	"predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein"	2	1	3	3	1	2
	44180	45466		+	fixC	b0043	predicted oxidoreductase with FAD/NAD(P)-binding domain	1	2	2	5	1	1
	45463	45750		+	fixX	b0044	predicted 4Fe-4S ferredoxin-type protein	2	1	1	5	0	1
	45807	47138		+	yaaU	b0045	predicted transporter	0	1	1	5	1	1
	47246	47776		+	kefF	b0046	"potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent"	17	14	16	15	14	14
	47769	49631		+	kefC	b0047	potassium:proton antiporter	13	18	15	18	15	16
	49823	50302		+	folA	b0048	dihydrofolate reductase	160	150	139	157	144	150
	51222	50380		-	apaH	b0049	diadenosine tetraphosphatase	54	54	55	53	55	56
	51606	51229		-	apaG	b0050	protein associated with Co2+ and Mg2+ efflux	153	159	162	127	142	151
	52430	51609	51607	-	rsmA	b0051	"16S rRNA dimethyladenosine transferase, SAM-dependent"	238	231	276	205	234	241
	53416	52427		-	pdxA	b0052	"4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent"	132	138	135	125	128	138
54754	54702	53416		-	surA	b0053	peptidyl-prolyl cis-trans isomerase (PPIase)	397	386	404	381	366	376
57177	57109	54755	54755	-	lptD	b0054	"LPS assembly OM complex LptDE, beta-barrel component"	317	327	350	329	314	299
	57364	58179		+	djlA	b0055	"DnaJ-like protein, membrane anchored"	70	79	76	69	75	70
	60346	59687		-	rluA	b0058	pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)	163	167	177	176	154	140
	63264	60358		-	rapA	b0059	RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)	210	210	214	203	186	190
	65780	63429		-	polB	b0060	DNA polymerase II	12	12	12	14	10	11
	66550	65855		-	araD	b0061	L-ribulose-5-phosphate 4-epimerase	1	2	2	6	2	2
	68337	66835		-	araA	b0062	L-arabinose isomerase	2	3	3	6	3	3
	70048	68348		-	araB	b0063	L-ribulokinase	1	1	1	4	1	1
	70387	71265		+	araC	b0064	DNA-binding transcriptional dual regulator	25	20	20	24	24	22
	71351	72115		+	yabI	b0065	"inner membrane protein, SNARE_assoc family"	32	29	25	29	27	29
	72927	72229		-	thiQ	b0066	thiamin transporter subunit	17	18	18	22	16	18
	74521	72911		-	thiP	b0067	fused thiamin transporter subunits of ABC superfamily: membrane components	14	14	11	13	11	14
	75480	74497		-	thiB	b0068	thiamin transporter subunit	40	42	36	35	35	35
	77299	75644		-	sgrR	b0069	transcriptional DNA-binding transcriptional activator of sgrS sRNA	34	32	31	32	36	28
77367			77593	+	sgrS	b4577	-	17	4	11	3627	5407	17630
	77388	77519	77561	+	sgrT	b4662	Inhibitor of glucose uptake	18	1	10	5331	7933	26248
	77621	78799		+	setA	b0070	broad specificity sugar efflux system	33	34	35	36	37	37
	79453	78848		-	leuD	b0071	3-isopropylmalate dehydratase small subunit	61	88	59	64	91	57
	80864	79464		-	leuC	b0072	3-isopropylmalate dehydratase large subunit	53	84	48	67	77	55
	81958	80867		-	leuB	b0073	"3-isopropylmalate dehydrogenase, NAD(+)-dependent"	49	78	42	56	74	45
	83529	81958		-	leuA	b0074	2-isopropylmalate synthase	40	52	31	46	45	35
	83708	83622		-	leuL	b0075	leu operon leader peptide	14	31	27	52	29	39
	84368	85312		+	leuO	b0076	DNA-binding transcriptional activator	5	5	5	8	6	5
	85630	87354		+	ilvI	b0077	"acetolactate synthase III, large subunit"	29	36	26	37	31	31
	87357	87848		+	ilvH	b0078	"acetolactate synthase III, thiamin-dependent, small subunit"	39	41	34	35	36	35
	88028	89032		+	cra	b0080	DNA-binding transcriptional repressor-activator for carbon metabolism	96	93	82	83	91	90
89634	89634	90092	90093	+	mraZ	b0081	RsmH methytransferase inhibitor	326	329	329	324	308	315
90094	90094	91035		+	rsmH	b0082	"16S rRNA m(4)C1402 methyltranserfase, SAM-dependent"	190	189	172	183	178	182
	91032	91397		+	ftsL	b0083	membrane bound cell division protein at septum containing leucine zipper motif	165	154	150	144	148	137
	91413	93179		+	ftsI	b0084	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)	84	88	85	77	78	85
	93166	94653		+	murE	b0085	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase	161	170	151	151	150	153
	94650	96008		+	murF	b0086	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase	153	163	160	148	145	155
	96002	97084		+	mraY	b0087	phospho-N-acetylmuramoyl-pentapeptide transferase	150	158	153	123	155	153
	97087	98403		+	murD	b0088	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	174	186	171	167	169	167
	98403	99647		+	ftsW	b0089	Lipid II flippase; integral membrane protein involved in stabilizing FstZ ring during cell division	135	137	138	120	134	133
	99644	100711		+	murG	b0090	N-acetylglucosaminyl transferase	107	109	97	93	97	98
	100765	102240		+	murC	b0091	UDP-N-acetylmuramate:L-alanine ligase	146	139	132	122	121	130
	102233	103153	103153	+	ddlB	b0092	D-alanine:D-alanine ligase	210	185	212	208	200	198
	103155	103985		+	ftsQ	b0093	"Divisome assembly protein, membrane anchored protein involved in growth of wall at septum"	190	197	184	198	178	189
	103982	105244	105244	+	ftsA	b0094	ATP-binding cell division protein involved in recruitment of FtsK to Z ring	290	295	298	285	296	279
105245	105305	106456	106538	+	ftsZ	b0095	GTP-binding tubulin-like cell division protein	620	636	620	620	624	604
106544	106557	107474	107474	+	lpxC	b0096	UDP-3-O-acyl N-acetylglucosamine deacetylase	1177	1135	1209	1079	1160	1129
	107705	108217		+	secM	b0097	regulator of secA translation	192	202	216	185	201	212
108218	108279	110984	110984	+	secA	b0098	"preprotein translocase subunit, ATPase"	336	341	371	347	334	354
	111044	111433		+	mutT	b0099	"nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP"	47	42	50	45	44	45
	111846	111649		-	yacG	b0101	DNA gyrase inhibitor	201	204	223	198	176	219
	112599	111856		-	yacF	b0102	conserved protein	136	130	141	133	134	142
	113219	112599		-	coaE	b0103	dephospho-CoA kinase	111	102	113	114	107	113
113429	113444	114487	114487	+	guaC	b0104	GMP reductase	307	273	279	306	277	281
	115724	114522		-	hofC	b0106	"assembly protein in type IV pilin biogenesis, transmembrane protein"	7	7	7	9	8	8
	117099	115714		-	hofB	b0107	conserved protein with nucleoside triphosphate hydrolase domain	5	5	6	8	5	4
	117549	117109		-	ppdD	b0108	predicted major pilin subunit	2	2	3	8	2	1
	118645	117752		-	nadC	b0109	quinolinate phosphoribosyltransferase	64	64	66	71	60	54
	118733	119284		+	ampD	b0110	"1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase"	32	31	30	32	26	33
	119281	120135		+	ampE	b0111	predicted inner membrane protein	29	34	28	31	32	31
	121551	120178		-	aroP	b0112	aromatic amino acid transporter	85	94	86	79	93	77
122066	122092	122856	122900	+	pdhR	b0113	DNA-binding transcriptional dual regulator	636	608	616	618	579	687
122980	123017	125680	125694	+	aceE	b0114	"pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding"	4550	4729	5342	4682	4610	5336
125695	125695	127587	127911	+	aceF	b0115	"pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2"	3055	3250	3438	3068	3095	3547
127912	127912	129336	129336	+	lpd	b0116	"lipoamide dehydrogenase, E3 component is part of three enzyme complexes"	3454	3483	3941	3481	3436	4021
	131260	129407		-	yacH	b0117	predicted protein	3	5	4	7	4	4
131573	131615	134212	134226	+	acnB	b0118	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	583	646	647	555	612	731
	134388	134750		+	yacL	b0119	conserved protein	147	154	151	151	157	140
135582	135582	134788	134788	-	speD	b0120	S-adenosylmethionine decarboxylase	548	547	621	575	593	579
136464	136464	135598	135588	-	speE	b0121	spermidine synthase (putrescine aminopropyltransferase)	471	462	526	475	460	479
	136917	136570		-	yacC	b0122	"conserved protein, PulS_OutS family"	39	46	47	49	43	38
	137083	138633		+	cueO	b0123	multicopper oxidase (laccase)	34	34	30	28	29	33
	141225	138835		-	gcd	b0124	glucose dehydrogenase	108	142	150	105	122	101
141407	141431	141967	141967	+	hpt	b0125	hypoxanthine phosphoribosyltransferase	493	472	527	474	508	503
142670	142670	142008	142008	-	can	b0126	carbonic anhydrase	549	562	588	537	589	573
	142779	143705		+	yadG	b0127	predicted transporter subunit: ATP-binding component of ABC superfamily	84	90	104	90	98	91
	143702	144472		+	yadH	b0128	predicted transporter subunit: membrane component of ABC superfamily	71	70	69	58	74	66
	144577	145017		+	yadI	b0129	predicted PTS Enzyme IIA	14	14	16	19	19	16
	145081	146310		+	yadE	b0130	predicted polysaccharide deacetylase lipoprotein	12	12	15	20	13	16
146718	146694	146314	146314	-	panD	b0131	aspartate 1-decarboxylase	621	629	667	572	618	666
	146968	147870		+	yadD	b0132	predicted transposase	13	14	16	19	13	13
148795	148795	147944	147944	-	panC	b0133	pantothenate synthetase	409	382	369	386	381	370
149601	149601	148807	148796	-	panB	b0134	3-methyl-2-oxobutanoate hydroxymethyltransferase	320	302	257	253	282	282
	150953	149715		-	yadC	b0135	predicted fimbrial-like adhesin protein	11	16	17	38	19	14
	151599	151003		-	yadK	b0136	predicted fimbrial-like adhesin protein	3	2	4	9	3	2
	152231	151626		-	yadL	b0137	predicted fimbrial-like adhesin protein	4	4	4	9	4	1
	152812	152243		-	yadM	b0138	predicted fimbrial-like adhesin protein	2	5	3	8	5	3
	155426	152829		-	htrE	b0139	predicted outer membrane usher protein	2	3	3	9	3	3
	156201	155461		-	ecpD	b0140	predicted periplasmic pilin chaperone	2	4	3	8	2	3
	156883	156299		-	yadN	b0141	predicted fimbrial-like adhesin protein	3	4	6	7	6	2
	157732	157253		-	folK	b0142	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase	70	74	74	80	72	78
159126	159126	157729		-	pcnB	b0143	poly(A) polymerase I	277	283	272	247	265	270
	160112	159186		-	gluQ	b0144	glutamyl-Q tRNA(Asp) synthetase	34	31	33	30	31	32
160634	160604	160149	160149	-	dksA	b0145	"DNA-binding transcriptional regulator of rRNA transcription, DnaK suppressor protein"	1108	1053	972	1060	1099	1063
	161486	160782		-	sfsA	b0146	predicted DNA-binding transcriptional regulator	83	81	93	96	80	88
	162031	161501		-	ligT	b0147	2'-5' RNA ligase	29	33	31	33	30	36
	162105	164534		+	hrpB	b0148	predicted ATP-dependent helicase	34	34	34	32	32	35
	164730	167264		+	mrcB	b0149	fused glycosyl transferase and transpeptidase	84	91	83	82	80	84
	167484	169727		+	fhuA	b0150	ferrichrome outer membrane transporter	92	125	104	60	123	115
	169778	170575		+	fhuC	b0151	iron-hydroxamate transporter subunit	26	34	29	22	33	30
	170575	171465		+	fhuD	b0152	iron-hydroxamate transporter subunit	27	27	25	15	20	26
	171462	173444		+	fhuB	b0153	fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components	17	16	15	12	14	16
174918	174882	173602	173582	-	hemL	b0154	glutamate-1-semialdehyde aminotransferase (aminomutase)	268	274	241	241	239	253
	175107	176528		+	clcA	b0155	"chloride channel, voltage-gated"	30	32	32	33	29	31
176588	176610	176954	176954	+	erpA	b0156	iron-sulfur cluster insertion protein	626	607	610	567	570	583
	177624	177001		-	yadS	b0157	"inner membrane protein, UPF0126 family"	38	38	38	41	39	31
	178462	177662		-	btuF	b0158	vitamin B12 transporter subunit: periplasmic-binding component of ABC superfamily	47	45	49	45	39	45
179153	179153	178455		-	mtn	b0159	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	356	339	327	332	341	332
	179237	180754		+	dgt	b0160	deoxyguanosine triphosphate triphosphohydrolase	32	29	26	36	34	28
	180884	182308		+	degP	b0161	"serine endoprotease (protease Do), membrane-associated"	142	136	129	135	139	122
	182463	183620		+	cdaR	b0162	DNA-binding transcriptional regulator for gar and gud operons; carbohydrate diacid regulator	9	7	8	11	8	10
	184095	183709		-	yaeH	b0163	"conserved protein, UPF0325 family"	161	145	108	178	182	110
	185069	184257		-	yaeI	b0164	phosphodiesterase with model substrate bis-pNPP	4	6	5	9	6	5
185947	185947	185123	185123	-	dapD	b0166	"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase"	466	531	461	477	497	447
	188650	185978		-	glnD	b0167	uridylyltransferase	44	42	41	43	38	41
189506	189506	188712	188712	-	map	b0168	methionine aminopeptidase	504	507	557	496	509	515
189712			189847	+	tff	b4414	-	7107	6554	8136	6290	7160	7198
189848	189874	190599	190608	+	rpsB	b0169	30S ribosomal subunit protein S2	10689	10299	11604	10907	10890	10850
190618	190857	191708	191722	+	tsf	b0170	protein chain elongation factor EF-Ts	5336	5068	5799	5251	5327	5324
191770	191855	192580	192702	+	pyrH	b0171	uridylate kinase	750	671	758	763	665	699
192745	192872	193429	193435	+	frr	b0172	ribosome recycling factor	1922	1761	1892	1898	1823	1731
	193521	194717		+	dxr	b0173	1-deoxy-D-xylulose 5-phosphate reductoisomerase	104	110	115	111	100	107
194887	194903	195664	195664	+	ispU	b0174	undecaprenyl pyrophosphate synthase	394	398	427	398	401	395
195665	195677	196534	196545	+	cdsA	b0175	CDP-diglyceride synthase	251	255	288	229	280	286
196546	196546	197898	197898	+	rseP	b0176	"inner membrane zinc RIP metalloprotease; RpoE activator, by degrading RseA"	278	288	302	253	316	292
197899	197928	200360	200360	+	bamA	b0177	"outer membrane protein assembly factor, forms pores; required for OM biogenesis; in BamABCDE OM protein complex"	572	593	664	577	604	604
200361	200482	200967	200967	+	skp	b0178	periplasmic chaperone	1362	1345	1497	1365	1411	1371
200969	200971	201996	202055	+	lpxD	b0179	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase	879	833	929	768	849	905
202101	202101	202556	202556	+	fabZ	b0180	(3R)-hydroxymyristol acyl carrier protein dehydratase	1059	1045	1186	1098	1129	1098
202557	202560	203348		+	lpxA	b0181	UDP-N-acetylglucosamine acetyltransferase	802	823	819	746	804	821
	203348	204496		+	lpxB	b0182	tetraacyldisaccharide-1-P synthase	182	179	185	177	184	192
	204493	205089		+	rnhB	b0183	"ribonuclease HII, degrades RNA of DNA-RNA hybrids"	111	104	105	99	91	104
	205126	208608		+	dnaE	b0184	DNA polymerase III alpha subunit	138	135	136	126	129	131
208609	208621	209580	209580	+	accA	b0185	"acetyl-CoA carboxylase, carboxytransferase, alpha subunit"	707	671	699	647	669	674
	209679	211820		+	ldcC	b0186	"lysine decarboxylase 2, constitutive"	10	15	15	18	17	14
	211877	212266		+	yaeR	b0187	predicted lyase	29	38	32	31	37	32
	212331	213629		+	tilS	b0188	tRNA(Ile)-lysidine synthetase	39	46	42	45	40	40
	213932	213678		-	rof	b0189	modulator of Rho-dependent transcription termination	145	150	128	137	153	132
	214125	213925		-	yaeP	b4406	conserved protein	184	162	131	179	151	132
	214291	214836		+	yaeQ	b0190	conserved protein	65	60	72	70	62	68
	214833	215255		+	yaeJ	b0191	"petidyl-tRNA hydrolase, ribosome-attached; stalled ribosome rescue factor"	44	42	45	48	44	45
	215269	215979		+	nlpE	b0192	lipoprotein involved with copper homeostasis and adhesion	41	40	39	46	41	37
	217003	216179		-	yaeF	b0193	predicted lipoprotein	5	7	6	8	8	7
218802	218775	217057	217057	-	proS	b0194	prolyl-tRNA synthetase	795	757	774	733	708	752
	219594	218887		-	yaeB	b0195	"conserved protein, UPF0066 family"	75	82	83	84	85	82
	219995	219591		-	rcsF	b0196	"predicted outer membrane protein, signal"	154	166	171	149	163	164
220967	220928	220113	220113	-	metQ	b0197	DL-methionine transporter subunit	600	432	379	632	430	338
	221621	220968	220968	-	metI	b0198	DL-methionine transporter subunit	194	158	156	178	158	148
	222645	221614		-	metN	b0199	DL-methionine transporter subunit	227	158	161	204	159	139
	222833	223408		+	gmhB	b0200	"D,D-heptose 1,7-bisphosphate phosphatase"	88	89	94	81	81	79
223771			225312	+	rrsH	b0201	16S ribosomal RNA of rrnH operon	21885	32007	28109	76166	23842	29635
225381			225457	+	ileV	b0202	Ile tRNA	786	771	965	498	593	986
225500			225575	+	alaV	b0203	Ala tRNA	579	604	682	415	528	627
225759			228662	+	rrlH	b0204	23S ribosomal RNA of rrnH operon	63380	91366	89576	213732	81539	96855
228756			228875	+	rrfH	b0205	5S ribosomal RNA of rrnH operon	2790	2911	3320	2718	2313	3973
228928			229004	+	aspU	b0206	Asp tRNA	483	424	502	293	409	432
	229167	229970		+	dkgB	b0207	"2,5-diketo-D-gluconate reductase B"	34	38	39	36	38	37
	230881	229967		-	yafC	b0208	predicted DNA-binding transcriptional regulator	35	36	32	40	35	31
	231122	231922		+	yafD	b0209	conserved protein	45	50	44	55	46	46
	231926	232549		+	yafE	b0210	predicted S-adenosyl-L-methionine-dependent methyltransferase	16	13	20	15	17	14
233955	233955	232597	232597	-	mltD	b0211	predicted membrane-bound lytic murein transglycosylase D	263	254	269	257	236	236
	234782	234027		-	gloB	b0212	hydroxyacylglutathione hydrolase	41	42	49	50	50	43
	234816	235538		+	yafS	b0213	predicted S-adenosyl-L-methionine-dependent methyltransferase	31	33	34	37	35	30
	236002	235535		-	rnhA	b0214	"ribonuclease HI, degrades RNA of DNA-RNA hybrids"	64	61	66	56	70	54
	236067	236798		+	dnaQ	b0215	DNA polymerase III epsilon subunit	106	104	118	107	120	111
236931			237007	+	aspV	b0216	Asp tRNA	57	91	119	49	40	86
	237335	238120		+	yafT	b0217	lipoprotein	10	10	11	19	10	11
	238736	238257		-	ykfM	b4586	hypothetical protein	4	3	4	15	5	3
	240189	239419		-	yafV	b0219	"predicted C-N hydrolase family amidase, NAD(P)-binding"	21	23	17	21	22	20
	240343	240816		+	ivy	b0220	"inhibitor of c-type lysozyme, periplasmic"	84	96	91	107	99	75
	243303	240859		-	fadE	b0221	acyl coenzyme A dehydrogenase	5	6	5	8	4	8
243543	243543	244121	244128	+	lpcA	b0222	D-sedoheptulose 7-phosphate isomerase	267	256	228	248	260	256
	244327	245094		+	yafJ	b0223	predicted amidotransfease	85	88	87	91	79	89
	245805	245065		-	yafK	b0224	conserved protein	173	190	201	187	200	190
	246239	245961		-	yafQ	b0225	translation inhibitor toxin of toxin-antitoxin pair YafQ/DinJ	35	30	50	50	50	50
	246502	246242		-	dinJ	b0226	antitoxin of YafQ-DinJ toxin-antitoxin system	72	79	85	82	83	80
	246712	247461		+	yafL	b0227	predicted lipoprotein and C40 family peptidase	2	3	2	7	2	4
	247637	248134		+	rayT	b0228	conserved protein	10	14	7	15	12	11
	250898	251953		+	dinB	b0231	DNA polymerase IV	14	15	16	19	14	16
	252005	252298		+	yafN	b0232	antitoxin of the YafO-YafN toxin-antitoxin system	27	35	33	34	39	32
	252301	252699		+	yafO	b0233	mRNA interferase toxin of the YafO-YafN toxin-antitoxin system	14	18	21	21	19	14
	252709	253161		+	yafP	b0234	predicted acyltransferase with acyl-CoA N-acyltransferase domain	8	9	13	11	12	9
255757	255716	254259	254259	-	pepD	b0237	aminoacyl-histidine dipeptidase (peptidase D)	514	504	464	534	552	468
255940	255977	256435	256435	+	gpt	b0238	guanine-hypoxanthine phosphoribosyltransferase	598	572	637	611	570	541
	256527	257771		+	frsA	b0239	fermentation-respiration switch protein; PTS Enzyme IIA(Glc)-binding protein; pNP-butyrate esterase activity	61	57	62	59	58	61
257829	257829	258230	258230	+	crl	b0240	"sigma factor-binding protein, stimulates RNA polymerase holoenzyme formation"	418	453	494	407	482	440
	259324	258269		-	phoE	b0241	outer membrane phosphoporin protein E	24	45	24	50	62	17
	259612	260715		+	proB	b0242	gamma-glutamate kinase	177	175	161	167	159	176
	260727	261980	261980	+	proA	b0243	gamma-glutamylphosphate reductase	200	195	177	186	183	180
262095			262170	+	thrW	b0244	Thr tRNA	109	141	136	144	93	152
	262893	262552		-	ykfI	b0245	CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system	21	22	23	24	22	21
	263231	262914		-	yafW	b0246	CP4-6 prophage; antitoxin of the YkfI-YafW toxin-antitoxin system	12	16	17	15	12	10
	263471	263250		-	ykfH	b4504	predicted protein	9	11	14	17	16	8
	263956	263480		-	ykfG	b0247	CP4-6 prophage; predicted DNA repair protein	5	7	6	7	5	5
	264430	263972		-	yafX	b0248	CP4-6 prophage; predicted protein	25	23	19	24	24	27
	264767	264528		-	ykfF	b0249	CP4-6 prophage; predicted protein	17	14	13	13	15	13
	265311	264844		-	ykfB	b0250	CP4-6 prophage; predicted protein	20	22	17	14	24	18
	265777	265334		-	yafY	b0251	"lipoprotein, inner membrane; overproduction stimulates degP expression; CP4-6 prophage"	9	10	8	15	6	8
	267229	266408		-	yafZ	b0252	CP4-6 prophage; conserved protein	4	5	3	5	6	5
	268184	267321		-	ykfA	b0253	CP4-6 prophage; predicted GTP-binding protein	7	10	9	12	11	8
	269406	268513		-	perR	b0254	CP4-6 prophage; predicted DNA-binding transcriptional regulator	10	10	11	18	10	13
	269827	270978		+	insI	b0256	IS30 transposase	19	19	24	31	22	19
271804			271878	+	eyeA	b4690	-	12	15	18	13	15	11
	274341	273325		-	insH	b0259	IS5 transposase and trans-activator	61	64	57	63	69	79
	274549	275952		+	mmuP	b0260	CP4-6 prophage; predicted S-methylmethionine transporter	6	4	4	9	4	4
	275939	276871		+	mmuM	b0261	CP4-6 prophage; S-methylmethionine:homocysteine methyltransferase	11	10	7	11	9	9
	278026	276980		-	afuC	b0262	CP4-6 prophage; predicted ferric transporter subunit	2	3	2	7	2	2
	278905	278402		-	insB	b0264	IS1 transposase B	13	16	13	11	17	15
	279099	278824		-	insA	b0265	IS1 repressor TnpA	12	14	14	9	12	16
	281207	280053		-	yagA	b0267	CP4-6 prophage; predicted DNA-binding transcriptional regulator	2	3	1	6	1	1
	281502	282410		+	yagE	b0268	2-keto-3-deoxy gluconate (KDG) aldolase; CP4-6 prophage	5	6	3	9	4	8
	282425	284392		+	yagF	b0269	CP4-6 prophage; predicted dehydratase	4	5	3	7	4	5
	284619	286001		+	yagG	b0270	CP4-6 prophage; predicted sugar transporter	2	3	2	3	3	2
	286013	287623		+	yagH	b0271	CP4-6 prophage; predicted xylosidase/arabinosidase	3	4	3	5	3	3
	288386	287628		-	yagI	b0272	CP4-6 prophage; predicted DNA-binding transcriptional regulator	38	42	29	46	32	34
	289529	288525		-	argF	b0273	"ornithine carbamoyltransferase 2, chain F; CP4-6 prophage"	15	16	14	14	10	12
	290376	289873		-	insB	b0274	IS1 transposase B	17	15	12	18	14	17
	290570	290295		-	insA	b0275	IS1 repressor TnpA	9	14	10	17	12	14
	292172	291546		-	yagK	b0277	CP4-6 prophage; conserved protein	12	16	14	22	12	12
	293142	292444		-	yagL	b0278	CP4-6 prophage; DNA-binding protein	7	7	7	11	13	6
	294023	293169		-	yagM	b0279	CP4-6 prophage; predicted protein	3	3	3	9	4	3
	294803	294363		-	yagN	b0280	CP4-6 prophage; predicted protein	65	67	58	104	93	81
	296320	294920		-	intF	b0281	CP4-6 prophage; predicted phage integrase	64	67	65	83	70	64
296430			296478	+	ptwF	b4629	Xaa tRNA	12	14	14	10	6	17
	297950	296994		-	paoD	b0283	moco insertion factor for PaoABC aldehyde oxidoreductase	2	2	1	3	3	1
